nombre,rfc,email,estatus
Proveedor 1,XAXX010101000,proveedor1@correo.com,1
Proveedor 2,XAXX010101001,proveedor2@correo.com,1
Proveedor 3,XAXX010101002,proveedor3@correo.com,1
Proveedor 4,XAXX010101003,proveedor4@correo.com,1
Proveedor 5,XAXX010101004,proveedor5@correo.com,1
Proveedor 6,XAXX010101005,proveedor6@correo.com,1
Proveedor 7,XAXX010101006,proveedor7@correo.com,1
Proveedor 8,XAXX010101007,proveedor8@correo.com,1
Proveedor 9,XAXX010101008,proveedor9@correo.com,1
Proveedor 10,XAXX010101009,proveedor10@correo.com,1
Proveedor 11,XAXX010101010,proveedor11@correo.com,1
Proveedor 12,XAXX010101011,proveedor12@correo.com,1
Proveedor 13,XAXX010101012,proveedor13@correo.com,1
Proveedor 14,XAXX010101013,proveedor13@correo.com,1
Proveedor 15,XAXX010101014,proveedor14@correo.com,1
